Year,January,February,March,April,May,June,July,August,September,October,November,December
1881,1361.4385,1361.6111,1361.6802,1361.8544,1361.8345,1361.8062,1361.8505,1361.9229,1361.753,1361.7994,1361.6891,1361.741
1882,1361.8722,1361.8944,1361.8065,1361.7285,1361.675,1361.8068,1361.7526,1361.5667,1361.6033,1361.5155,1361.4313,1361.9612
1883,1361.7456,1361.6193,1361.5964,1361.6926,1361.871,1361.5029,1361.3911,1361.9039,1361.57,1361.5481,1361.7324,1361.8876
1884,1361.8618,1361.92,1362.0139,1361.6997,1361.7472,1361.8854,1361.793,1361.6967,1361.5476,1361.5165,1361.701,1361.4554
1885,1361.6342,1361.6602,1361.773,1361.7161,1361.7501,1361.5282,1361.8239,1361.8185,1361.5535,1361.4374,1361.4645,1361.4838
1886,1361.3687,1361.4749,1361.3962,1361.6357,1361.4458,1361.4446,1361.3579,1361.4166,1361.3514,1361.3053,1361.2065,1361.157
1887,1361.2504,1361.3286,1361.277,1361.2435,1361.2758,1361.2683,1361.3368,1361.4225,1361.2749,1361.2307,1361.215,1361.0874
1888,1361.317,1361.2605,1361.2194,1361.2125,1361.1401,1361.223,1361.2023,1361.1686,1361.1913,1361.1936,1361.1292,1361.2207
1894,1361.8641,1361.9363,1362.04,1361.6804,1361.8508,1361.893,1362.0898,1361.9692,1362.0266,1361.6954,1361.9358,1361.71
1895,1361.738,1361.8224,1361.7683,1361.863,1361.9114,1361.7771,1361.9581,1361.5223,1361.7283,1361.5889,1361.7227,1361.6835
1896,1361.7654,1361.5573,1361.7456,1361.7452,1361.6233,1361.4114,1361.625,1361.5997,1361.3735,1361.6366,1361.5253,1361.5133
1897,1361.1328,1361.2203,1361.3969,1361.4373,1361.3033,1361.3258,1361.4067,1361.286,1361.4142,1361.5476,1361.3829,1361.2092
1898,1361.4082,1361.4138,1361.4248,1361.4664,1361.4277,1361.4658,1361.3812,1361.322,1361.202,1361.3842,1361.5017,1361.3595
1899,1361.3097,1361.2819,1361.2386,1361.2977,1361.277,1361.2616,1361.2821,1361.266,1361.2203,1361.2377,1361.2827,1361.2789
1900,1361.2603,1361.2823,1361.2397,1361.3055,1361.2998,1361.2821,1361.2689,1361.216,1361.2244,1361.2158,1361.2234,1361.1696
1901,1361.1259,1361.1332,1361.1776,1361.1517,1361.0997,1361.2,1361.1776,1361.1493,1361.1207,1361.147,1361.1567,1361.1577
1902,1361.1195,1361.1487,1361.1624,1361.1814,1361.1421,1361.1425,1361.1528,1361.1647,1361.18,1361.2413,1361.2688,1361.2339
1903,1361.2422,1361.297,1361.2887,1361.3611,1361.4443,1361.3595,1361.389,1361.5691,1361.4764,1361.1287,1361.3916,1361.6619
1904,1361.599,1361.4359,1361.516,1361.3512,1361.76,1361.7098,1361.6865,1361.7767,1361.7931,1361.6464,1361.7468,1361.6658
1905,1361.5536,1361.3143,1361.5486,1361.8126,1361.5789,1361.5924,1361.4949,1361.7316,1361.917,1361.2231,1361.6859,1362.0145
1906,1361.7266,1361.5997,1361.4901,1361.8264,1361.6749,1361.8798,1361.8373,1361.8768,1361.8752,1361.7004,1361.5044,1361.5471
1907,1361.7606,1361.5074,1362.0707,1361.8335,1361.619,1361.3536,1361.5167,1361.7252,1361.7048,1361.779,1361.705,1361.4984
1908,1361.6599,1361.6555,1361.5768,1361.5885,1361.7762,1361.6876,1361.7776,1361.4039,1361.677,1361.9318,1361.5244,1361.5167
1909,1361.3534,1361.6383,1361.6417,1361.6354,1361.5084,1361.4579,1361.3889,1361.5784,1361.4507,1361.5825,1361.666,1361.6809
1910,1361.5393,1361.2991,1361.3916,1361.338,1361.2604,1361.3408,1361.3241,1361.284,1361.2883,1361.3827,1361.3999,1361.2699
1911,1361.1753,1361.1967,1361.2284,1361.235,1361.275,1361.2115,1361.177,1361.1656,1361.1685,1361.1792,1361.1534,1361.1687
1912,1361.155,1361.1436,1361.1549,1361.1743,1361.2037,1361.1761,1361.19,1361.1609,1361.204,1361.2008,1361.1924,1361.1619
1913,1361.179,1361.1737,1361.1536,1361.1453,1361.1384,1361.133,1361.1464,1361.1478,1361.1542,1361.1674,1361.1643,1361.1733
1914,1361.2014,1361.1915,1361.1907,1361.187,1361.2766,1361.2355,1361.2407,1361.1311,1361.1777,1361.3063,1361.337,1361.393
1915,1361.4298,1361.453,1361.6492,1361.4757,1361.631,1361.5856,1361.6578,1361.9187,1361.8031,1361.7172,1361.7368,1361.6825
1916,1361.696,1361.7098,1361.773,1361.9955,1361.8237,1361.764,1361.8596,1361.7766,1361.7048,1361.6064,1361.9031,1361.8834
1917,1361.8208,1361.6605,1362.1598,1362.2158,1362.2186,1362.3381,1362.4172,1362.1058,1362.5994,1362.4226,1362.1974,1361.8901
1918,1362.0847,1362.2183,1361.9873,1361.9664,1362.1207,1362.1075,1362.0474,1361.9673,1362.2068,1361.9984,1362.0198,1361.7893
1919,1361.7882,1361.6238,1361.7777,1361.8538,1361.6206,1361.8641,1362.1047,1361.6517,1361.6223,1361.6583,1361.558,1361.6888
1920,1361.2184,1361.6831,1361.4464,1361.6401,1361.5453,1361.4446,1361.4783,1361.499,1361.2506,1361.566,1361.4406,1361.4618
1921,1361.4209,1361.4761,1361.4163,1361.4836,1361.2888,1361.4395,1361.4718,1361.4694,1361.3372,1361.2659,1361.1792,1361.2872
1922,1361.3804,1361.2815,1361.1821,1361.5211,1361.2708,1361.1909,1361.1664,1361.2206,1361.2124,1361.2211,1361.1693,1361.0708
1923,1361.2516,1361.1923,1361.158,1361.1815,1361.1843,1361.2007,1361.2148,1361.1868,1361.2017,1361.2468,1361.2571,1361.2147
1924,1361.1573,1361.1528,1361.2009,1361.2217,1361.3252,1361.3529,1361.455,1361.3428,1361.3444,1361.3352,1361.2539,1361.3657
